Accounting Date,Date,Time,Upload Date,Upload Time,Group,Customer,Province,City,Zone,Customer Zone,Branch,Branch Code,Machine,Machine S/N,Deposit ID,User,Department,Deposit Category,Declared Amount,THB 20,THB 50,THB 100,THB 500,THB 1000,Banknote Amount,THB 0.25,THB 0.5,THB 1,THB 2,THB 5,THB 10,Coin Amount,Other (BN),Other (Coin),Other (Cheque),Other Item,Other Remarks,Other Verifier,Other Amount,Total Amount,Banknote Bag,Coin Bag,Additional Info.,Remarks,Deposit Status
3/22/2022,3/22/2022,12:50:52,3/22/2022,12:50:52,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D032,123456,,,,0,0,0,0,0,0,99,0,0,0,0,0,24.75,0,0,0,0,,,0,24.75,,,1,,Normal
3/22/2022,3/22/2022,12:49:36,3/22/2022,12:49:36,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D031,123456,,,,0,0,0,0,0,0,100,0,0,0,0,0,25,0,0,0,0,,,0,25,,,1,,Normal
3/22/2022,3/22/2022,12:48:22,3/22/2022,12:48:22,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D030,123456,,,,0,0,0,0,0,0,99,0,0,0,0,0,24.75,0,0,0,0,,,0,24.75,,,1,,Normal
3/22/2022,3/22/2022,12:46:07,3/22/2022,12:46:07,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D029,123456,,,,0,0,0,0,0,0,99,0,0,0,0,0,24.75,0,0,0,0,,,0,24.75,,,1,,Normal
3/22/2022,3/22/2022,12:44:11,3/22/2022,12:44:11,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D028,123456,,,,0,0,0,0,0,0,98,0,0,0,0,0,24.5,0,0,0,0,,,0,24.5,,,1,,Normal
3/22/2022,3/22/2022,12:39:08,3/22/2022,12:39:08,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D027,123456,,,,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,,,0,50,,,1,,Normal
3/22/2022,3/22/2022,12:37:39,3/22/2022,12:37:39,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D026,123456,,,,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,,,0,50,,,1,,Normal
3/22/2022,3/22/2022,12:36:00,3/22/2022,12:36:00,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D025,123456,,,,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,,,0,50,,,1,,Normal
3/22/2022,3/22/2022,12:34:49,3/22/2022,12:34:50,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D024,123456,,,,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,,,0,50,,,1,,Normal
3/22/2022,3/22/2022,12:33:20,3/22/2022,12:33:21,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D023,123456,,,,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,,,0,50,,,1,,Normal
3/22/2022,3/22/2022,12:31:53,3/22/2022,12:31:53,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D022,123456,,,,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,,,0,10,,,1,,Normal
3/22/2022,3/22/2022,12:19:35,3/22/2022,12:19:35,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D021,123456,,,,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,,,0,98,,,1,,Normal
3/22/2022,3/22/2022,12:18:00,3/22/2022,12:18:02,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D020,123456,,,,0,0,0,0,0,0,0,0,97,0,0,0,97,0,0,0,0,,,0,97,,,1,,Normal
3/22/2022,3/22/2022,12:16:14,3/22/2022,12:16:14,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D019,123456,,,,0,0,0,0,0,0,0,0,96,0,0,0,96,0,0,0,0,,,0,96,,,1,,Normal
3/22/2022,3/22/2022,12:14:10,3/22/2022,12:14:10,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D018,123456,,,,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,,,0,98,,,1,,Normal
3/22/2022,3/22/2022,12:12:47,3/22/2022,12:12:47,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D017,123456,,,,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,,,0,98,,,1,,Normal
3/22/2022,3/22/2022,12:07:38,3/22/2022,12:07:39,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D016,123456,,,,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,,,0,200,,,1,,Normal
3/22/2022,3/22/2022,12:05:57,3/22/2022,12:05:59,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D015,123456,,,,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,,,0,200,,,1,,Normal
3/22/2022,3/22/2022,12:04:17,3/22/2022,12:04:20,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D014,123456,,,,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,,,0,200,,,1,,Normal
3/22/2022,3/22/2022,12:02:47,3/22/2022,12:02:48,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D013,123456,,,,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,,,0,200,,,1,,Normal
3/22/2022,3/22/2022,12:01:24,3/22/2022,12:01:25,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D012,123456,,,,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,,,0,200,,,1,,Normal
3/22/2022,3/22/2022,11:57:02,3/22/2022,11:57:02,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D011,123456,,,,0,0,0,0,0,0,0,0,0,0,100,0,500,0,0,0,0,,,0,500,,,1,,Normal
3/22/2022,3/22/2022,11:55:30,3/22/2022,11:55:29,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D010,123456,,,,0,0,0,0,0,0,0,0,0,0,100,0,500,0,0,0,0,,,0,500,,,1,,Normal
3/22/2022,3/22/2022,11:53:55,3/22/2022,11:53:55,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D009,123456,,,,0,0,0,0,0,0,0,0,0,0,100,0,500,0,0,0,0,,,0,500,,,1,,Normal
3/22/2022,3/22/2022,11:51:30,3/22/2022,11:51:29,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D008,123456,,,,0,0,0,0,0,0,0,0,0,0,100,0,500,0,0,0,0,,,0,500,,,1,,Normal
3/22/2022,3/22/2022,11:49:37,3/22/2022,11:49:37,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D007,123456,,,,0,0,0,0,0,0,0,0,0,0,100,0,500,0,0,0,0,,,0,500,,,1,,Normal
3/22/2022,3/22/2022,11:45:13,3/22/2022,11:45:12,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D006,123456,,,,0,0,0,0,0,0,0,0,0,0,0,100,"1,000.00",0,0,0,0,,,0,"1,000.00",,,1,,Normal
3/22/2022,3/22/2022,11:43:16,3/22/2022,11:43:16,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D005,123456,,,,0,0,0,0,0,0,0,0,0,0,0,100,"1,000.00",0,0,0,0,,,0,"1,000.00",,,1,,Normal
3/22/2022,3/22/2022,11:41:20,3/22/2022,11:41:19,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D004,123456,,,,0,0,0,0,0,0,0,0,0,0,0,100,"1,000.00",0,0,0,0,,,0,"1,000.00",,,1\n,,Normal
3/22/2022,3/22/2022,11:39:31,3/22/2022,11:39:30,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D003,123456,,,,0,0,0,0,0,0,0,0,0,0,0,100,"1,000.00",0,0,0,0,,,0,"1,000.00",,,1,,Normal
3/22/2022,3/22/2022,11:37:43,3/22/2022,11:37:51,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D002,123456,,,,0,0,0,0,0,0,0,0,0,0,0,100,"1,000.00",0,0,0,0,,,0,"1,000.00",,,1,,Normal
3/22/2022,3/22/2022,11:15:11,3/22/2022,11:15:20,CPN,CPN,Bangkok,Lak Si,GFCTH TEST,,CPN,,TSD Test1,Kun520A20288,Kun520A20288220322D001,123456,,,,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,,,0,30,,,1,,Normal
